image_name,dice,precision,Jaccard,F1,Recall
23084(Threshold),0.22434546874309372,0.2299699454789845,0.12634522357470607,0.22434546874309372,0.21898954453281175
23084(Edge),0.07913101523150676,0.04609402615765288,0.041195425538636504,0.07913101523150676,0.27934875749785776
23084(Cluster),0.3358657003516817,0.5278602610582845,0.08056104257977566,0.12900503675211275,0.12476255170748063
35010(Threshold),0.6861331927756203,0.9408649733014721,0.5222243145217412,0.6861331927756203,0.5399468391291098
35010(Edge),0.14971689895470383,0.103523565728053,0.08091567115871241,0.14971689895470383,0.27034998033818325
35010(Cluster),0.11502516175413371,0.7981146030399706,0.01080541552313489,0.01868624085357426,0.023556391415543613
12074(Threshold),0.6324354694781373,0.9917079541449865,0.462453840651161,0.6324354694781373,0.46424897618539296
12074(Edge),0.04712404712404713,0.028797289666854884,0.0241305890702626,0.04712404712404713,0.12960609911054638
12074(Cluster),0.4271086327161093,0.374982466405791,0.13111748144981936,0.19487494758615417,0.23866811917397432
41004(Threshold),0.8199192138421656,0.9937807511813325,0.6947992234596915,0.8199192138421656,0.6978335233751425
41004(Edge),0.2391304347826087,0.22142043296619826,0.13580246913580246,0.2391304347826087,0.2599197503343736
41004(Cluster),0.7414718816587975,0.45379946748452665,0.15271723754291774,0.18651569914399316,0.1795035950055554
22013(Threshold),0.7438948100092678,0.9448507232088992,0.5922233392051796,0.7438948100092678,0.613427717116136
22013(Edge),0.1495713863434821,0.12003036341208843,0.08083067092651758,0.1495713863434821,0.19840025094102887
22013(Cluster),0.06938426564594789,0.9449888049014094,0.0013551041803663664,0.002543340229484166,0.0038234312128634447
8049(Threshold),0.40026074939375766,0.35178938105016133,0.2502037436676468,0.40026074939375766,0.46422393458090894
8049(Edge),0.10012993961629596,0.06440511307767945,0.052703572578049564,0.10012993961629596,0.22485410230003433
8049(Cluster),0.5523150756795616,0.7334715011012674,0.051526792425673415,0.07144717378066578,0.07812152303341596
20008(Threshold),0.4560728286643709,0.797262956173971,0.29539788995994476,0.4560728286643709,0.3193895091707138
20008(Edge),0.046922038824872836,0.0318579080913448,0.024024662485383225,0.046922038824872836,0.08901142181961402
20008(Cluster),0.06191022078872546,0.22547238633534078,0.00871802657098272,0.016332910909187037,0.028424298412089814
26031(Threshold),0.012600664354093377,0.009760729206228636,0.006340278034760513,0.012600664354093377,0.017771323859903883
26031(Edge),0.021494038445940465,0.011340294419719274,0.010863772393719509,0.021494038445940465,0.2054263565891473
26031(Cluster),0.551945907086094,0.2826111718086542,0.20961394000662117,0.2753112951476331,0.6982818840858562
35008(Threshold),0.6407779891878831,0.842377753426398,0.471429968092576,0.6407779891878831,0.5170390299060319
35008(Edge),0.1484987827968623,0.15757749712973593,0.0802045288531775,0.1484987827968623,0.14040920716112532
35008(Cluster),0.3126598920991444,0.8878927788595108,0.010529498071579468,0.015427157555526243,0.023991678884282504
22090(Threshold),0.43875491341761397,0.45309691979771805,0.2810288513881328,0.43875491341761397,0.42529299269357135
22090(Edge),0.12560721721027063,0.09150657229524772,0.0670122176971492,0.12560721721027063,0.2002212389380531
22090(Cluster),0.5965505404757742,0.8318292803384646,0.13872123617335716,0.18210196324214714,0.20918211630008368
22093(Threshold),0.6929194156456173,0.9503764987234593,0.5301275406733066,0.6929194156456173,0.5452194226597697
22093(Edge),0.11412965358631595,0.07483506126295947,0.06051829268292683,0.11412965358631595,0.24031476997578693
22093(Cluster),0.1156210128172745,0.8455316301918971,0.020833860159755208,0.02821338012505046,0.028490011875698645
27059(Threshold),0.5066653597333857,0.7438718239818354,0.3392845421726288,0.5066653597333857,0.38416310891268984
27059(Edge),0.11303462321792261,0.07191448007774538,0.05990286022665947,0.11303462321792261,0.26397146254458975
27059(Cluster),0.4860266449051496,0.8678558678415729,0.10167907301598125,0.12489195991856275,0.14973639464632474
28075(Threshold),0.20668176670441676,0.19380158134703065,0.1152510262077676,0.20668176670441676,0.2213958885504437
28075(Edge),0.14422888496962571,0.16020896821941663,0.07771911298838437,0.14422888496962571,0.13114754098360656
28075(Cluster),0.7283178217757657,0.7619780975760012,0.19199966254721923,0.236193419132313,0.28697077959034023
35058(Threshold),0.4146481123909715,0.47816339066339064,0.2615495749756409,0.4146481123909715,0.3660279769601505
35058(Edge),0.05565978736710444,0.07574468085106383,0.028626568028304922,0.05565978736710444,0.0439940682155215
35058(Cluster),0.35294460528105387,0.035556592178736225,0.015395221909496498,0.024594931646940994,0.7580526724663587
15088(Threshold),0.03841768871998618,0.021800715581042004,0.019585050547747368,0.03841768871998618,0.16156919723937524
15088(Edge),0.08847736625514403,0.05361596009975062,0.04628632938643703,0.08847736625514403,0.2529411764705882
15088(Cluster),0.8829282193768175,0.8467887026030647,0.06953620579543328,0.081400957523793,0.08082793889990253
